zhetvariat_01_yovkov_0000|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0000.wav|жетварет глава първа
zhetvariat_01_yovkov_0002|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0002.wav|жетварият повест от юрдан йовков глава едно
zhetvariat_01_yovkov_0003|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0003.wav|вечерта на димитров ден в кръчмата на къня беше се струпал много свят имаше мнозина от ония които си идеха всеки ден като гроздан тачката йордан ковачет и други но сега бяха надошли и всички слуги колкото и каквито ги имаше в люляково в добруджа димитров ден е празник на слугите на горбечиите
zhetvariat_01_yovkov_0004|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0004.wav|днес те навършваха времето за което се бяха условили кой цяла година като се смята от минало годишния димитров ден кой шест месеца смятано от гергев ден
zhetvariat_01_yovkov_0005|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0005.wav|след два три дните всички ще аха отново да се представят или при същите си господари или при други а до тогаз по обичае си пиеха и се веселяха
zhetvariat_01_yovkov_0006|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0006.wav|повечето от тях бяха овчари все едри мъже те носиха бузяви и амурлуци и пискиоли и чанти препасани бяха с кожени селехлъци в който имаше големи и малки ножове кеси астютюни прахан огниво револвер разни древни инструменти с който си служиха при лекуването на овцете и най после нещо което никога не липсваше кавал
zhetvariat_01_yovkov_0007|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0007.wav|близо до тях бяха изправени дългите им дрянови кривации подковани отдолу с желязо с гега отгоре изпъстрени с черти и резки тие древни писмена за които говори чърноризец храбр
zhetvariat_01_yovkov_0008|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0008.wav|в кръчмата освен тях имаше още и десетина прости чевчийски слуги няколко падари и поляци те нямаха никакви трофила върху си и нищо друго не носеха освен някоя мучуга къса стопка на краето яга опасно уражие в такива едни яки и силни ръце
zhetvariat_01_yovkov_0009|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0009.wav|всички бяха се поприготвили за празника между вехтите и окъсани дрехи можеше да се види туктаме и някоя нова салтамарка или нови потури изпранните рези показваха бели като снякияки издърпани навън повече отколкото трябва или на сила застегнати
zhetvariat_01_yovkov_0010|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0010.wav|брасначите ножиците също бяха постъкмили рошевите глави без да успеят да ги променят твърде много лицата си оставаха всета и загорели от слънцето и спечени зачервени като тухла ръцете бяха груби напукани и хванали слин
zhetvariat_01_yovkov_0011|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0011.wav|тежкият труд беше вечна учеснатия хора цяла година те бяха вървели подир стадата или подир плуговете работили бяха без спири без почивка покорни и мълчеливи под натиска и прещевките на господарската воля
zhetvariat_01_yovkov_0012|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0012.wav|и ето днес те можеха да седнат наред с всички да се почувстват свободни и независими тая нова и тъй рядка радост за тях раздрусваше издън от цялото им същество те пиеха викаха лудуваха веселяха се със същата тая сила корава и неистуштима която бликаше и в работата им
zhetvariat_01_yovkov_0014|Euthymius/reaper_0806_librivox/wavs/zhetvariat_01_yovkov_0014.wav|глъчка и шум пълниха кръчмата все пак колкото и да беше голямо бъркотията виждаше се че има едно място където се събираше общото внимание откъдето веселбата вземаше насока и тон
